Time,X1,X2,X3,X4,X5,SpeedDoppler1,SpeedDoppler2,SpeedDoppler3,SpeedDoppler4,SpeedDoppler5,Accel1,Accel2,Accel3,Accel4,Accel5,Spacing2,Spacing3,Spacing4,Spacing5
1.0,4460.421067,4451.694545,4443.096939,4434.655246,4427.043324,0.0,0.27396717992040087,0.1536067491904257,0.006353174847353821,0.012155654267815938,0.060160762414436346,-0.050210246142959325,0.4219725528735385,0.011115178407390906,-0.00196086341085722,3.530521999999932,3.8916060000002686,3.4846929999997593,2.6549220000000497
1.1,4460.421367803812,4451.721690666762,4443.114409537683,4434.655936893377,4427.0445297611095,0.006016076241443635,0.26894615530610494,0.19580400447777954,0.007464692688092912,0.011959567926730216,0.10248946262850042,-0.06064259254912718,0.3824414268971285,0.010230367350283895,-0.0017501780939373733,3.503677137050458,3.901281129078728,3.501472644306312,2.654407132267232
1.2,4460.42248185875,4451.748282069329,4443.135902145265,4434.656734514482,4427.045716967012,0.016265022504293677,0.2628818960511922,0.2340481471674924,0.008487729423121301,0.011784550117336479,0.07913105932680058,-0.06997042415541,0.344455993019126,0.009368030917770546,-0.0015531748940404363,3.478199789420527,3.9063799240640433,3.522167630783195,2.6540175474705103
1.3,4460.424504016297,4451.774220406814,4443.161029239947,4434.657630127579,4427.046887656149,0.024178128436973735,0.2558848536356512,0.268493746469405,0.009424532514898356,0.011629232627932435,0.05771545999084478,-0.07819374096181053,0.30801625123953236,0.008528169109850783,-0.0013698538111663397,3.4542836094832676,3.907191166866272,3.546399112368243,2.653742471430058
1.4,4460.42721040644,4451.799417923472,4443.189418695851,4434.658615221676,4427.048043730143,0.029949674436058213,0.24806547953947017,0.29929537159335823,0.010277349425883434,0.011492247246815801,0.03824266462063304,-0.08531254296832658,0.2731222015583462,0.007710781926524683,-0.001200214845315118,3.431792482968289,3.903999227621301,3.573803474174718,2.6535714915329374
1.5,4460.430396587207,4451.823797908711,4443.220713844018,4434.659681510529,4427.049186953794,0.03377394089812152,0.2395342252426375,0.32660759174919285,0.011048427618535903,0.01137222576228429,0.02071267321616506,-0.0913268301749598,0.2397738439755681,0.0069158693677922115,-0.0010442579964867887,3.4105986784960844,3.897084064692666,3.604032333489493,2.6534945567349206
1.6,4460.433877544663,4451.847294697084,4443.254573472413,4434.660820932637,4427.05031895508,0.03584520821973802,0.23040154222514153,0.35058497614674966,0.011740014555315124,0.01126779996263561,0.005125485777441388,-0.0962366025817088,0.20797117849119862,0.006143431433653368,-0.0009019832646813171,3.390582847578939,3.8867212246715495,3.6367525397757783,2.653501977556851
1.7,4460.437487692914,4451.869853668294,4443.29067182592,4434.66202565125,4427.05144122516,0.03635775679748216,0.22077788196697065,0.3713820939958695,0.01235435769868046,0.011177601636167479,-0.008518897695538458,-0.1000418601885747,0.1777142051052366,0.0053934681241081875,-0.0007733906498987378,3.37163402462002,3.8731818423740547,3.6716461746703937,2.6535844260900996
1.8,4460.441080874106,4451.89143124719,4443.328698606345,4434.66328805436,4427.05255511837,0.035505867027928316,0.21077369594811318,0.3891535145063932,0.01289370451109128,0.011100262571177605,-0.02022047720277441,-0.10274260299555693,0.1490029238176832,0.004665979439156583,-0.0006584801521389988,3.3536496269161074,3.856732640844842,3.708410551984678,2.6537329359901998
1.9,4460.4445303584225,4451.9119949037695,4443.368358972415,4434.664600754709,4427.0536618522265,0.033483819307650875,0.2004994356485575,0.4040538068881615,0.013360302455006938,0.011034414555963705,-0.029979252744265703,-0.10433883100265551,0.1218373346285373,0.003960965378798659,-0.0005572517714021522,3.3365354546530437,3.8376359313544013,3.746758217706309,2.6539389024823032
2.0,4460.447728844089,4451.931523153179,4443.409373539777,4434.665956589781,4427.054762507423,0.030485894033224305,0.19006555254829194,0.41623754035101523,0.013756398992886804,0.01097868937882349,-0.037795224320013865,-0.1048305442098707,0.09621743753779888,0.0032784259430343812,-0.00046970550768816316,3.3202056909102833,3.8161496134017794,3.786416949996572,2.6541940823575425
2.1,4460.450588457371,4451.950005555713,4443.451478381,4434.66734862181,4427.055858027834,0.026706371601222918,0.17958249812730487,0.4258592841047951,0.014084241587190242,0.010931718828054673,-0.04366839193001751,-0.10421774261720196,0.07214323254547073,0.0026183611318636793,-0.0003958413609970665,3.304582901658163,3.7925271747127622,3.827129759190364,2.6544905939757593
2.2,4460.453040752572,4451.967442716812,4443.494425025573,4434.668770137774,4427.0569492205095,0.022339532408221167,0.16916072386558467,0.4330736073593422,0.01434607770037661,0.010892134691954967,-0.04759875557427726,-0.10250042622464983,0.0496147196515484,0.0019807709452866404,-0.0003356593313288275,3.289598035759722,3.767017691238965,3.868654887798919,2.654820917264595
2.3,4460.455036712035,4451.9838462870675,4443.537980459907,4434.670214649399,4427.058036755682,0.01757965685079344,0.1589106812431197,0.43803507932449703,0.014544154794905274,0.010858568758822084,-0.04958631525279304,-0.09967859503221432,0.02863189885603412,0.0013656553833032645,-0.00028915941868346354,3.2751904249670627,3.7398658271605596,3.91076581050799,2.655177893716762
2.4,4460.456546746143,4451.999238962217,4443.581927127334,4434.671675893155,4427.059121166761,0.012621025325514137,0.14894282173989826,0.44089826921010045,0.0146807203332356,0.010829652816953738,-0.049631070965564565,-0.09575224903989543,0.00919477015893011,0.0007730144459134822,-0.00025634162306097455,3.2613077839268083,3.711311834882639,3.953251234178759,2.655554726394592
2.5,4460.457560693321,4452.013654483146,4443.626062928106,4434.673147830261,4427.0602028503345,0.007657918228957681,0.1393675968359087,0.44181774622599346,0.014758021777826948,0.01080401865464764,-0.047733022712592596,-0.09072138824769205,-0.008696666439768075,0.0002028481331173282,-0.00023720594446136056,3.2479062101755556,3.6815915550397618,3.9959150978451072,2.6559449799263968
2.6,4460.45808782003,4452.027137635888,4443.670201219396,4434.674624646679,4427.06128206617,0.0028846159576984207,0.1302954580111395,0.44094807958201665,0.014778306591138681,0.010780298060201504,-0.028846159576984207,-0.08458601265560584,-0.025042410940057103,-0.0003448435550851281,-0.00023175238288462158,3.234950184142603,3.6509364164914073,4.038576572717255,2.6563425805091976
2.7,4460.458232050828,4452.039744251626,4443.7141708153,4434.67610075312,4427.062358937214,0.0,0.12183685674557893,0.43844383848801094,0.014743822235630168,0.010757122821913042,0.0,-0.07734612226363624,-0.039842463341938084,-0.0008700606186940255,-0.00023998093833074025,3.2224877992020122,3.619573436325612,4.081070062179941,2.6567418159059963
2.8,4460.458232050828,4452.051541206689,4443.757815986833,4434.677570785041,4427.063433449592,0.0,0.1141022445192153,0.43445959215381713,0.014656816173760766,0.010733124728079968,0.0,-0.06900171707178243,-0.05309682364541102,-0.0013728030577092251,-0.0002618916107997339,3.210690844139121,3.5877252198562415,4.123245201791513,2.6571373354494137
2.9,4460.458232050828,4452.062606422555,4443.80099646193,4434.679029602643,4427.064505452607,0.0,0.10720207281203706,0.42914990978927603,0.014519535867989843,0.010706935566999995,0.0,-0.059552797080045516,-0.0648054918504759,-0.0018530708721308659,-0.00029748440029161993,3.199625628272683,3.555609960625719,4.164966859286658,2.657524150036232
3.0,4460.458232050828,4452.0730288658515,4443.843587425449,4434.6804722908755,4427.065574658742,0.0,0.1012467931040325,0.42266936060422844,0.014334228780776757,0.010677187126970833,0.0,-0.04899936228842494,-0.07496846795713386,-0.002310864061958809,-0.00034675930680634626,3.18920318497649,3.523441440402297,4.206115134573673,2.6578976321337615
3.1,4460.458232050828,4452.08290854835,4443.88547951917,4434.681894159433,4427.066640643658,0.0,0.09634685687519001,0.41517251380851505,0.014103142374580876,0.010642511196290198,0.0,-0.037341412696920706,-0.08358575196538154,-0.0027461826271931583,-0.0004097163303439823,3.179323502477841,3.4914290291800567,4.24658535973719,2.658253515775294
3.2,4460.458232050828,4452.092356526974,4443.9265788417915,4434.683290742757,4427.067702846196,0.0,0.09261271560549794,0.4068139386119769,0.01382852411186156,0.0106015395632558,0.0,-0.024578948305533088,-0.0906573438752245,-0.0031590265678338447,-0.0004863554709044586,3.169875523853902,3.459777685182547,4.286288099034544,2.65858789656101
3.3,4460.458232050828,4452.1014949037935,4443.9668069489335,4434.684657800035,4427.068760568375,0.0,0.09015482077494463,0.39774820422445445,0.013512621455078175,0.010552904016165354,0.0,-0.010711969114261533,-0.09618324368665498,-0.003549395883880903,-0.0005766767284878273,3.160737147034437,3.428687954860055,4.325149148898498,2.658897231659801
3.4,4460.458232050828,4452.110456826025,4444.0061008531375,4434.685991315201,4427.069812975393,0.0,0.08908362386351848,0.38812987985578895,0.013157681866690085,0.010495236343316571,0.005223780895162882,0.004259524876787796,-0.10016345140011762,-0.00391729057534913,-0.000680680103106214,3.1517752248027175,3.3983559728877877,4.3631095379363325,2.6591783398083573
3.5,4460.458258169732,4452.119386486036,4444.044413023866,4434.687287496935,4427.0708590956265,0.0005223780895162883,0.08950957635119726,0.3781135347157772,0.012765952809155172,0.01042716833300595,0.07098858181748167,0.019333155631517662,-0.0828343851887331,-0.004460959479592238,-0.0008578419526931308,3.142871683696198,3.368973462170419,4.400125526930759,2.65942840130844
3.6,4460.45866535045,4452.12843410945,4444.081810205411,4434.688541787418,4427.07189752325,0.007621236271264456,0.09144289191434903,0.3698300961969039,0.012319856861195948,0.010341384137736637,0.0916180742330162,0.01277090872854117,-0.12180394106501125,-0.0058478563350678955,-0.004080973439112949,3.1342312410005473,3.340623904038824,4.436268417992658,2.659644264167917
3.7,4460.459885564448,4452.137642253185,4444.118184195325,4434.689744533823,4427.072911256797,0.016783043694566076,0.09271998278720314,0.35764970209040275,0.011735071227689159,0.009933286793825342,0.11799322203368039,0.037844917371365056,-0.0972878446755765,-0.00544304700545924,-0.002563043526784721,3.1262433112632646,3.313458057859992,4.471439661502125,2.659833277025762
3.8,4460.462153834927,4452.147103476051,4444.153462726311,4434.69089082571,4427.073891770258,0.028582365897934114,0.09650447452433965,0.3479209176228451,0.011190766527143235,0.00967698244114687,0.14537881174421063,0.055145434830951995,-0.09494219654501534,-0.00639650093138459,-0.0027415494246142355,3.119050358876761,3.2876407497398246,4.505571900600779,2.6599990554517428
