File,setSpd_kmph,setSpd_mps,timeStart,timeEnd
HC_Skoda_30_1,30,8.3,20,245
HC_Skoda_30_1,30,8.3,245,470
HC_Skoda_50_1,50,13.9,25,285
HC_Skoda_50_2,50,13.9,25,285
HC_Skoda_70_1,70,19.4,20,205
HC_Skoda_70_2,70,19.4,25,210
