X,Alt,E,N,SlopeSin,Yaw,Curvature
0.0,181.06490767661285,-9.099983959,938.5094649,0.002695710758560055,1.9243802521845443,0.00028482804357298283
10.0,181.10338577639442,-12.549300573203261,947.8957429107443,0.003054953904226827,1.9243802521845443,0.0007218949143313115
20.0,181.136357382399,-16.02521834607637,957.2721919480975,0.003328847841776658,1.9299900797647929,0.0011203914822706833
30.0,181.16576844612402,-19.579557027173863,966.6189951157958,0.0035206968461309164,1.941106195221602,0.0014819332556771957
40.0,181.19223572675932,-23.262854196980562,975.9153366886945,0.0036338051922109697,1.957337667640134,0.0018081357428369458
50.0,181.21749243571878,-27.118525728427787,985.1414595188683,0.003671477154938187,1.9778341581667378,0.0021006144520360308
60.0,181.246731072553,-31.17992807079166,994.2795607728195,0.003637017009233936,2.0017569178811723,0.002360984891560548
70.0,181.27363554801173,-35.47272099376301,1003.311278711312,0.003533729030019585,2.0281686496099325,0.002590862569696595
80.0,181.30547794826728,-40.010534664021336,1012.2213722292623,0.0033649174922165026,2.058689807593104,0.002791862994730268
90.0,181.33774876003756,-44.84516256216238,1020.9722930553612,0.0031338866707460566,2.0921220222363783,0.0029656016749476655
100.0,181.36760998934272,-49.96758868357942,1029.558386414045,0.0028439408405296156,2.1314826354269027,0.003113694118634885
110.0,181.39362837289323,-55.476456805345634,1037.903639320793,0.002498384276488547,2.166048433228233,0.0032377558340780225
120.0,181.4246454314347,-61.18074152558169,1046.1167613344737,0.0021005212535442196,2.19427526535913,0.003339402329563176
130.0,181.44754146267854,-67.15197371865135,1054.1382565876324,0.0016536560466180025,2.228376423076353,0.003420249113376442
140.0,181.46653950565508,-73.40201150436492,1061.9426112745218,0.0011610929306312633,2.2631478942309258,0.0034819116938039196
150.0,181.4791909071774,-79.91478620345384,1069.5281703176079,0.0006261361805053432,2.295836966594195,0.0035260055791317036
160.0,181.48500106184656,-86.6612912465512,1076.9075038676463,6.0357737247407225e-06,2.326062038218188,0.0035541462776458926
170.0,181.48433132159147,-93.62099887468722,1084.0863152437953,-0.0006364595149566158,2.3567554709277485,0.0035679492976325843
180.0,181.47719836297756,-100.80847786887902,1091.03882678923,-0.0013353341624230872,2.3917956614053977,0.0035690301473778755
190.0,181.45839472944652,-108.25480593041807,1097.7135701101327,-0.002068669237456663,2.430884683657531,0.0035590043351678637
200.0,181.42940027076634,-115.96207845925923,1104.08244648395,-0.0028309121494179135,2.4682667754446195,0.003539487369288853
210.0,181.3909225192304,-123.884569150465,1110.1811496063892,-0.0036246520730642265,2.4989735267748228,0.00354553140403374
220.0,181.34562886250055,-131.9689121665073,1116.0655273737682,-0.004379149953752953,2.52468620862853,0.0034891033469971974
230.0,181.29502813916005,-140.1948901801738,1121.749229274392,-0.005089181812231175,2.5534768227761937,0.0034353871062594364
240.0,181.2372570003013,-148.6049126975851,1127.158915426023,-0.005755238234054591,2.592922647303401,0.0034211005111488228
250.0,181.16918014584076,-157.25448843168948,1132.1773653480598,-0.006365593183210052,2.629560970691064,0.0034099563628765253
260.0,181.09172747446078,-166.03763798202255,1136.9566145778938,-0.006911212556989239,2.6599657632811637,0.0033812140867598324
270.0,181.00712933555158,-174.974209632749,1141.4391169245544,-0.0073992743124716405,2.695227976895566,0.00333458954793946
280.0,180.9167946789751,-184.07040061043887,1145.5867216374663,-0.007758466069454876,2.7312596925759163,0.0033152880598449133
290.0,180.82422456753005,-193.30764021115425,1149.414656441364,-0.00806515466973145,2.7622554463339415,0.003313622397865406
300.0,180.7358052619805,-202.6456820198058,1152.9916534813988,-0.00827205988074246,2.7942187848167155,0.0033063997348981152
310.0,180.6529147551821,-212.10955688816077,1156.2219897605064,-0.008390649466235384,2.8301928956040094,0.0033589203617188767
320.0,180.56867143949103,-221.67980404641554,1159.118196510423,-0.008431810579448048,2.862307929403792,0.003340024913045943
330.0,180.4862509153429,-231.3301408115837,1161.7340700613406,-0.008402869231208695,2.8921727129716897,0.003351124811042748
340.0,180.4044387446083,-241.05534594352685,1164.053614634992,-0.008312951447028283,2.924484239821434,0.003351253698085831
350.0,180.32434712684105,-250.85379517456346,1166.0406991304003,-0.008157916824491952,2.9600114728544864,0.003323819210443728
360.0,180.25115951483795,-260.720745737958,1167.664251628775,-0.007959779618811709,2.9960086115090885,0.003339178641582177
370.0,180.17941824153579,-270.6388282646364,1168.9416078805689,-0.00773508738852791,3.029772829274708,0.003321618547364313
380.0,180.1036825991882,-280.5923652487956,1169.89560041146,-0.007471534748900197,3.0620946428611346,0.0033080360614689175
390.0,180.03423324820048,-290.57041482821734,1170.5294758466932,-0.00715146324033106,3.095462683539064,0.0033308910078865992
400.0,179.9687625079793,-300.5638360010537,1170.8175378048988,-0.006789374887601317,3.1289941156430583,0.003369174327606517
410.0,179.9052381381165,-310.5626469015306,1170.7813620679754,-0.006411970248083567,-3.1241627775707195,0.0033487119976586114
420.0,179.84555137786992,-320.55711731002924,1170.469022096663,-0.006128269921242015,-3.0910974374378397,0.0033491159347288843
430.0,179.78665809418933,-330.53280320292833,1169.772106774537,-0.005900506901501404,-3.0524265448114747,0.003329808934830403
440.0,179.73345680818827,-340.4729175643569,1168.6884864090614,-0.005703709589972893,-3.0185468286194705,0.0033010858256564118
450.0,179.68121326371434,-350.3772479029201,1167.3179325616493,-0.005518290555439492,-2.9901365977987036,0.0033646410782347843
460.0,179.6299693816586,-360.2392679768269,1165.6716499104703,-0.005302388159532802,-2.959724482089949,0.0033600700550980526
470.0,179.58122597994216,-370.04058368368845,1163.7018407911619,-0.005099070626437696,-2.9235231419816157,0.003367176373584549
480.0,179.5369532599694,-379.7585587124169,1161.3463064488715,-0.00485382785061213,-2.887297797238103,0.0033840022426583974
490.0,179.4997039706442,-389.39416912713233,1158.6714210427601,-0.004518366991819978,-2.8539023648791115,0.0033952879768082388
500.0,179.46222954710493,-398.93327054501555,1155.6725260316375,-0.004141622129007618,-2.8194732871684987,0.00335769733949553
510.0,179.42785537011983,-408.36006909601656,1152.3416813727783,-0.003690947445935325,-2.7855930886318,0.00335419205833356
520.0,179.39901524725482,-417.67308012562404,1148.7042687418025,-0.0030884512675136257,-2.7542037658362104,0.003360460185251941
530.0,179.37465259161965,-426.8729531629765,1144.7883158367106,-0.002359612847753466,-2.724649810369285,0.003340229028763471
540.0,179.35114290922888,-435.9558151317793,1140.606649824674,-0.0015755344844926667,-2.692960307905409,0.0033123249138402497
550.0,179.32707628492764,-444.8904309160446,1136.11525351756,-0.0007383151650467716,-2.654632874343896,0.003297326981282058
560.0,179.30084421674633,-453.626361008645,1131.2502851286445,0.000162175537279036,-2.6195204269144323,0.0032845386673683516
570.0,179.29449467126753,-462.2228508438081,1126.1436235511997,0.0011638324451013996,-2.5887864481533063,0.0032610081748624528
580.0,179.30417056200005,-470.6418499114344,1120.7521890798132,0.0022507996725440803,-2.554581763993997,0.0032427722157416274
590.0,179.32680481165,-478.868682307188,1115.070231578268,0.003379584605507968,-2.5216390915330646,0.0032136424433214087
600.0,179.3624386941889,-486.91602895426234,1109.1350469614658,0.0045530995569712076,-2.491221987773728,0.003182535620013735
610.0,179.41065123862967,-494.7835559858745,1102.9623637194022,0.005744437092804987,-2.455423461083042,0.0031567734687202864
620.0,179.48685921578524,-502.38570647850463,1096.466679032456,0.006855152220424051,-2.4203872268975943,0.0030781069252376688
630.0,179.5771567907452,-509.8012744751955,1089.7587427185815,0.007936515651139965,-2.3921232393362546,0.0030640522671189756
640.0,179.67473139320612,-517.0247794951933,1082.8434715578776,0.0089546457591401,-2.35893630447712,0.003050233011188053
650.0,179.78886632520843,-523.9792552650379,1075.6582963186486,0.009866406390219075,-2.3263154653135683,0.0030102419471519063
660.0,179.9148738636847,-530.7358356045803,1068.2875750405963,0.010592664626413752,-2.299486523939616,0.0029697400243061268
670.0,180.041053480827,-537.2943482205721,1060.7404525321615,0.011143553582929453,-2.2725996541399387,0.0029374275195354366
680.0,180.16386077998155,-543.6447805611655,1053.0175076888704,0.011529394359344372,-2.2451939428834016,0.0029013455503291573
690.0,180.2875714264353,-549.7804254899161,1045.1218663123468,0.01176924136349392,-2.218235285093311,0.0028764609035368868
700.0,180.4208110258025,-555.7062625064499,1037.0667775075303,0.011857532086180808,-2.1898609552455786,0.002850782971061803
710.0,180.55896745627166,-561.384434548037,1028.8354886622435,0.01175201160775615,-2.1595079183329267,0.002825114521797252
720.0,180.68837936034814,-566.8099244267149,1020.4368426305317,0.011393139398047734,-2.1315184326937593,0.002795391640403728
730.0,180.8081756850355,-572.0182400051084,1011.9014891278609,0.01086455286721423,-2.1060094663885116,0.0027718291266100857
740.0,180.91811858837983,-577.0083612284652,1003.2371026424631,0.010237250767806514,-2.0798862740369803,0.0027176257894444907
750.0,181.01665068201225,-581.7640375422556,994.4410505063754,0.009741946927957159,-2.053651774750947,0.002688613614484836
760.0,181.09786443026584,-586.2935010173247,985.5256727450006,0.009239263713541756,-2.027065908783295,0.0027089937480117045
770.0,181.17626568425504,-590.5751907310276,976.4888252098208,0.008485040796849802,-1.9988692558118104,0.0026874788335191522
780.0,181.23755393231826,-594.5944755314961,967.3333781391538,0.007556513051768124,-1.9723093397963545,0.0026844084305942912
790.0,181.28441636780045,-598.3900206534036,958.0827066290351,0.006760978248159438,-1.9473263861164958,0.0026794151865751955
800.0,181.32484235483133,-601.9468564449114,948.7383398705533,0.0061307611252402,-1.920348633680166,0.002658390917058632
810.0,181.36640192684465,-605.238112801168,939.2961681265093,0.005538359728324956,-1.8940921194867764,0.002630233590522034
820.0,181.40962197428775,-608.3000507233438,929.776476106242,0.005059349687695379,-1.8654150642628726,0.0026759468210963105
830.0,181.4552578417749,-611.0447975116144,920.1605988283835,0.004625681942521185,-1.8354224175860943,0.0026776666171809157
840.0,181.4984089824406,-613.5302910898141,910.4753534877672,0.0042086938504064,-1.8078035612800125,0.0026698873363144547
850.0,181.53451989352197,-615.7396343387318,900.7240652822705,0.0038718598053060185,-1.7807488712976565,0.002692642372805949
860.0,181.56810407049997,-617.697695167057,890.9185997066497,0.0035520416077150707,-1.7563948567664431,0.002706704902288894
870.0,181.60884430656307,-619.429776309892,881.070498327447,0.0034260526777161195,-1.732719589063465,0.002690919658506782
880.0,181.6670902434416,-620.9216616186472,871.1824574942274,0.0034095966018415106,-1.703935105290618,0.0026992685181717276
890.0,181.73290144590794,-622.0843197991107,861.2502761650629,0.0035212924292193637,-1.674747175597521,0.0027139513317592573
900.0,181.7534662519755,-622.9966950033349,851.2927317118579,0.003760249757819423,-1.6490524075462158,0.002720237558210596
910.0,181.75051604618804,-623.647551155331,841.3152250609817,0.004084784689030804,-1.6218291275348569,0.0027361496006668047
920.0,181.77987536484827,-624.0166562810005,831.3236987597666,0.004506591490112073,-1.593785449316292,0.0027796503679994645
930.0,181.86163643496252,-624.1071935929714,821.3248378367157,0.005015045939730701,-1.5681969990587705,0.0027848979970986243
940.0,181.93228738360511,-623.9646755914945,811.3260002340211,0.0054739731833343165,-1.5414071608297852,0.002803812713675365
950.0,181.9761628794824,-623.5195665199445,801.3359112497116,0.005901925462158239,-1.5114318345660431,0.0028253716620715227
960.0,182.03102409595917,-622.7782712974393,791.3643996894457,0.006334705151984461,-1.4834022441427859,0.0028343146340115053
970.0,182.08396032555171,-621.7742477519497,781.4161062810433,0.0067842310135300225,-1.4580875613726056,0.0028403618035619253
980.0,182.1409790050601,-620.5292780403345,771.4949424424562,0.007243051486083068,-1.4336870164965596,0.002840567006072249
990.0,182.20749290763698,-619.0411343767429,761.6073471167481,0.007696561636289139,-1.4077448255973424,0.0028089743534358003
1000.0,182.27767182862922,-617.2831829566209,751.7632792846005,0.008098566752034601,-1.3794722552942262,0.0027776103612898555
1010.0,182.38187598628684,-615.2383980560865,741.9745687101404,0.008404614880537191,-1.3493227796916136,0.002737789433050301
1020.0,182.48800398755398,-612.8905535006645,732.2549755415838,0.008642903230883275,-1.3212795980409073,0.002663032383554886
1030.0,182.6011168381673,-610.3005299390677,722.5972493675021,0.008891105954149279,-1.296477445946777,0.002607045946671452
1040.0,182.71520463582985,-607.4737359391318,713.0063638107125,0.009168064538893692,-1.2706610511900507,0.0025255715290368633
1050.0,182.82699718113219,-604.3888679772632,703.4956063961063,0.009549058455360086,-1.2419840122139216,0.0024319075819402183
1060.0,182.93981335447106,-601.016622953883,694.0815581777636,0.00967807253513516,-1.2153673210247609,0.002329109175965989
1070.0,183.03832295538535,-597.4295365069,684.747062432311,0.00964447937867417,-1.1887861551002603,0.00219767123488754
1080.0,183.13265903292788,-593.5620045345432,675.5259818431482,0.009723803096466569,-1.1614592810157012,0.0020588630869782173
1090.0,183.233173463608,-589.4707623512019,666.4022471220778,0.010050660296419715,-1.1381802741638152,0.0019519136103988617
1100.0,183.33391835913082,-585.178338079302,657.3713099193658,0.010396482335977605,-1.1160713556559854,0.0018124355031726954
1110.0,183.4304652843595,-580.6877598309857,648.4372740450891,0.010631757194625696,-1.0936445427475987,0.0016697142586185806
1120.0,183.52492945398535,-575.9943616068551,639.6071951377991,0.010906748143030841,-1.075185904541296,0.0015343009226792765
1130.0,183.61818875770547,-571.1766636448803,630.8442169712632,0.011180060347099414,-1.0592244660777281,0.0013977228425777876
1140.0,183.7137862692492,-566.2038834570923,622.1685486971801,0.011492308477925496,-1.0449370063351322,0.001238450225371329
