X,Y
1502.5,0.018161243
1507.5,0.01750949
1512.5,0.016876544
1517.5,0.0162568
1522.5,0.015631502
1527.5,0.014984681
1532.5,0.014299941
1537.5,0.013580185
1542.5,0.012838005
1547.5,0.012085852
1552.5,0.011342941
1557.5,0.010628479
1562.5,0.009946438
1567.5,0.009283576
1572.5,0.008637857
1577.5,0.008001645
1582.5,0.007375241
1587.5,0.00673963
1592.5,0.006054998
1597.5,0.005311581
1602.5,0.004527775
1607.5,0.003740256
1612.5,0.00299026
1617.5,0.002349141
1622.5,0.001881434
1627.5,0.001604308
1632.5,0.001480227
1637.5,0.00142324
1642.5,0.001383471
1647.5,0.001337581
1652.5,0.001261366
1657.5,0.001142593
1662.5,0.001012008
1667.5,0.000914762
1672.5,0.000858591
1677.5,0.000818583
1682.5,0.000776508
1687.5,0.000769922
1692.5,0.00084087
1697.5,0.000984772
1702.5,0.001183812
1707.5,0.001444556
1712.5,0.001769295
1717.5,0.002125214
1722.5,0.002446489
1727.5,0.002706788
1732.5,0.002939782
1737.5,0.003173593
1742.5,0.003415525
1747.5,0.0036717
1752.5,0.003986621
1757.5,0.004399518
1762.5,0.004894962
1767.5,0.005419434
1772.5,0.005913509
1777.5,0.0063409
1782.5,0.006640198
1787.5,0.006766515
1792.5,0.006713126
1797.5,0.006535104
1802.5,0.006324277
1807.5,0.006139926
1812.5,0.006025636
1817.5,0.006007414
1822.5,0.006073943
1827.5,0.006177814
1832.5,0.006267268
1837.5,0.006310185
1842.5,0.006305681
1847.5,0.006275038
1852.5,0.006236826
1857.5,0.006214472
1862.5,0.006228722
1867.5,0.006277027
1872.5,0.006344636
1877.5,0.006415915
1882.5,0.006470672
1887.5,0.00648288
1892.5,0.006437074
1897.5,0.006331306
1902.5,0.006179986
1907.5,0.006012957
1912.5,0.005864228
1917.5,0.00576453
1922.5,0.005733223
1927.5,0.005766815
1932.5,0.005837236
1937.5,0.00592202
1942.5,0.00599766
1947.5,0.006043034
1952.5,0.006059419
1957.5,0.006047283
1962.5,0.006008626
1967.5,0.005956746
1972.5,0.0059076
1977.5,0.005881169
1982.5,0.005896511
1987.5,0.005952677
1992.5,0.006022371
1997.5,0.006083335
2002.5,0.006100592
2007.5,0.006046892
2012.5,0.005934874
2017.5,0.005794994
2022.5,0.005668378
2027.5,0.005585412
2032.5,0.005548763
2037.5,0.005530075
2042.5,0.005500728
2047.5,0.00542974
2052.5,0.005301395
2057.5,0.0051437
2062.5,0.005004487
2067.5,0.00493131
2072.5,0.004959858
2077.5,0.005098038
2082.5,0.005314898
2087.5,0.005566013
2092.5,0.005790713
2097.5,0.005919
2102.5,0.005909227
2107.5,0.005747904
2112.5,0.005435953
2117.5,0.005006481
2122.5,0.004508082
2127.5,0.003987165
2132.5,0.003487154
2137.5,0.003027295
2142.5,0.002587794
2147.5,0.002146917
2152.5,0.0016851
2157.5,0.001175255
2162.5,0.000616995
2167.5,2.95E-05
2172.5,-0.000559249
2177.5,-0.001122443
2182.5,-0.001656692
2187.5,-0.002181713
2192.5,-0.002708437
2197.5,-0.00322896
2202.5,-0.003733032
2207.5,-0.00419258
2212.5,-0.00455342
2217.5,-0.004762776
2222.5,-0.004781907
2227.5,-0.004604684
2232.5,-0.004248423
2237.5,-0.003739513
2242.5,-0.003088846
2247.5,-0.002314356
2252.5,-0.001444126
2257.5,-0.00048306
2262.5,0.000561181
2267.5,0.001667302
2272.5,0.00280696
2277.5,0.003942103
2282.5,0.005028925
2287.5,0.006041345
2292.5,0.006958067
2297.5,0.007741341
2302.5,0.008375013
2307.5,0.008856542
2312.5,0.009185399
2317.5,0.009380196
2322.5,0.009459287
2327.5,0.009434624
2332.5,0.009322988
2337.5,0.009140355
2342.5,0.00889115
2347.5,0.008580374
2352.5,0.008221563
2357.5,0.007835094
2362.5,0.007447154
2367.5,0.007072447
2372.5,0.006708363
2377.5,0.006341769
2382.5,0.005954236
2387.5,0.005537748
2392.5,0.005090405
2397.5,0.004618158
2402.5,0.004148834
2407.5,0.003715606
2412.5,0.003335386
2417.5,0.003009335
2422.5,0.002724073
2427.5,0.002457103
2432.5,0.002186874
2437.5,0.001892692
2442.5,0.001554423
2447.5,0.001174747
2452.5,0.000770653
2457.5,0.000351903
2462.5,-6.88E-05
2467.5,-0.000472913
2472.5,-0.000845887
2477.5,-0.001186823
2482.5,-0.001507204
2487.5,-0.001814153
2492.5,-0.002110388
2497.5,-0.002399589
2502.5,-0.00269343
2507.5,-0.00299575
2512.5,-0.003303446
2517.5,-0.003620363
2522.5,-0.003964372
2527.5,-0.004348411
2532.5,-0.004760932
2537.5,-0.005180597
2542.5,-0.005591932
2547.5,-0.005979992
2552.5,-0.006324774
2557.5,-0.006615691
2562.5,-0.006866085
2567.5,-0.007112327
2572.5,-0.007385756
2577.5,-0.00769629
2582.5,-0.008048525
2587.5,-0.008439211
2592.5,-0.008850039
2597.5,-0.009243298
2602.5,-0.009577722
2607.5,-0.009829952
2612.5,-0.009997505
2617.5,-0.010090016
2622.5,-0.010125594
2627.5,-0.010141337
2632.5,-0.010168474
2637.5,-0.010224701
2642.5,-0.010306054
2647.5,-0.010392909
2652.5,-0.010468582
2657.5,-0.010518303
